Hash(vPC),Name
0xA737CCAC,AI_CLEAR_DONT_HARM_ACTOR
0xBE17EB88,AI_SET_ALLOW_HOSTILE_ATTACK_AI
0xABC78721,AI_SET_ALLOW_HOSTILE_ATTACK_PLAYER
0x548541C1,AI_SHOOT_TARGET_CLEAR_OFFSET
0x39C69C4,AI_SHOOT_TARGET_SET_OFFSET
0x47C2C7B0,AI_SHOOT_TARGET_SET_BONE
0xA90A13A5,SET_FORCED_LOOK_ENABLE
0xF0511878,GET_FORCED_LOOK_ENABLE
0xE56D3FCE,FORCE_LOOK_AT_COORD
0x6C194C1F,STOP_FORCE_LOOK_AT_COORD
0xFE5715A1,FORCE_LOOK_AT_ACTOR
0xA29B9458,SET_AUTO_CONVERSATION_LOOK
0x1F07FC4C,AI_GOAL_LOOK_AT_PLAYER_WHEN_WITHIN
0x4DB11394,AI_GOAL_LOOK_AT_PLAYER_WHEN_WITHIN_CLEAR
0xFEB74094,CLEAR_ACTORS_HORSE
0x8DDE894F,GET_ACTORS_HORSE
0xCFFDF09D,SET_ACTORS_HORSE
0x8D3CDF9,IS_AI_ACTOR_IN_COMBAT
0x6718D199,IS_AI_ACTOR_PERFORMING_TASK
0xC4D114A6,IS_AI_ACTOR_UNALERTED
0x57F96655,AI_SET_RANGE_ACCURACY_MODIFIER
0x2444577C,AI_SET_DISARMED
0xAFB1CC55,AI_IMPAIRMENT_MASK_GET_CURRENT_FOR_ACTOR
0xB4A15D17,AI_IMPAIRMENT_MASK_MATCHES
0x70B409D5,AI_ACTOR_FORCE_SPEED
0x7387772C,AI_ACTOR_SET_MATCH_WALK_SPEED_ENABLED
0xD2BFA6E4,AI_SET_WEAPON_MAX_RANGE
0xE067A925,AI_SET_WEAPON_MIN_RANGE
0xDA005857,AI_SET_WEAPON_DESIRED_RANGE
0x85F2DF87,AI_SET_BURST_DURATION
0x9E164C44,AI_SET_BURST_DURATION_RANDOMNESS
0x5861CF4,AI_SET_FIRE_DELAY
0xC5873149,AI_SET_FIRE_DELAY_RANDOMNESS
0xE0172E2D,AI_SET_SHOTS_PER_BURST
0x1FD4402,AI_CLEAR_BURST_DURATION
0xCA8EE2A4,AI_CLEAR_BURST_DURATION_RANDOMNESS
0xD6886191,AI_CLEAR_FIRE_DELAY
0xE8511960,AI_CLEAR_FIRE_DELAY_RANDOMNESS
0x58A7B2A1,AI_CLEAR_SHOTS_PER_BURST
0x46F51754,AI_RESET_FIRING_FSM
0xEA2A40BC,AI_SET_GATLING_MAX_HORIZONTAL_DEGREES
0x9AB964F4,AI_IS_HOSTILE_OR_ENEMY
0x6FAF13C2,AI_QUICK_EXIT_GRINGO
0xC94F9499,AI_IS_AGGROING
0x7F07210F,AI_SET_ALLOWED_MOUNT_DIRECTIONS
0x68B268BE,AI_AVOID_IGNORE_ACTOR
0x1A96EFB9,AI_AVOID_CLEAR_IGNORE_ACTOR
0x2DBCB78A,IS_AI_ACTOR_ENGAGED_IN_COMBAT
0xF5752F72,WAS_AI_ACTOR_PLAYER_WEAPON_THREATENED_BY
0x2EBE540D,AI_SET_ALLOW_ATTACK_HOGTIED_ACTORS
0x2FABB559,AI_GET_IS_RETREATING
0x1530A3DE,AI_HAS_PLAYER_FIRED_GUN_WITHIN
0x59F64B8,AI_HAS_PLAYER_PROJECTILE_IMPACTED_WITHIN
0xD8574E09,AI_HAS_PLAYER_PROJECTILE_NEAR_MISSED_WITHIN
0xDCD2FC0F,AI_SET_PLAYER_PROJECTILE_IMPACT_HEAR_RANGE
0xA421F94,AI_DONT_SLOW_DOWN_TO_WALK_FOR_TURNS
0x6BCC744A,AI_HAS_ACTOR_BUMPED_INTO_ME
0x9493438,AI_WAS_PUSHED_OVER
0x7AF8AFDC,AI_WAS_PUSHED_OVER_BY
0x4AEE21F,AI_SELF_DEFENSE_GET_PLAYER_ATTACKED_FIRST
0x68C50F50,AI_SELF_DEFENSE_GET_ATTACKED_PLAYER_FIRST
0x480D5BD,AI_SELF_DEFENSE_SET_PLAYER_ATTACKED_FIRST
0x902C79A6,AI_SET_IGNORE_OPEN_AREA_MATERIAL
0x2FBBAD1,AI_GET_IGNORE_OPEN_AREA_MATERIAL
0x7193449E,AI_SET_ENABLE_REACTION_VO
0x9B742D25,AI_GET_TASK_RETREAT_FLAG
0x2E5F186B,PREVENT_DESPAWN_CLEAR
0x5C94F6EC,PREVENT_DESPAWN_SET_SPHERE
0x5D72FDB6,AI_HAS_ACTOR_THREATENED_RECENTLY
0x6B4A139,AI_REPLACE_ALL_TR
0x4D53AC21,AI_SET_TR_PROGRAM_FOR_ACTOR
0x6ADF2927,AI_CLEAR_NAV_MATERIAL_USAGE
0x660C85E5,AI_RESET_NAV_ACTOR_WIDTH
0x8404592D,AI_SET_NAV_ACTOR_WIDTH
0x5D752432,AI_SET_NAV_HAZARD_AVOIDANCE_ENABLED
0x7B00615F,AI_SET_NAV_MATERIAL_USAGE
0x4495F5FC,AI_SET_NAV_PATHFINDING_ENABLED
0x98966941,AI_SET_NAV_PATHFINDING_ENABLED_WHEN_DRIVING
0xF64D5452,AI_SET_NAV_MAX_SLOPE
0x29D07F70,AI_SET_NAV_MAX_WATER_DEPTH_LEVEL
0x5B483036,AI_SET_NAV_ACTOR_AVOIDANCE_MODE
0xFCB31704,AI_SET_NAV_ACTOR_AVOIDANCE_ALLOW_TURNS
0x7C13266C,AI_GET_NAV_ACTOR_AVOIDANCE_ALLOW_TURNS
0x750A1EF6,AI_RESET_NAV_SUBGRID_CELL_SIZE
0xFF3CEFE2,AI_SET_NAV_SUBGRID_CELL_SIZE
0xC900F0E8,AI_SET_NAV_FAILSAFE_MOVEMENT_ENABLED
0xD6F4FDAD,AI_GET_NAV_FAILSAFE_MOVEMENT_ENABLED
0xF1B3072D,AI_SET_NAV_UNALERTED_PREFER_PEDPATH
0xC84EF86B,AI_SET_NAV_ALLOW_TWEAK_DESIRED_MOVEMENT
0xBAA2BA4F,AI_GET_NAV_ALLOW_TWEAK_DESIRED_MOVEMENT
0xF435CCDE,AI_SWAP_NAV_DATA
0x5C580036,DISABLE_VERIFY_SS
0x66064774,AI_PERCEPTION_SET_VISUAL_ID_DISTANCE
0xD786E8C7,AI_PERCEPTION_SET_VISUAL_ID_TIME
0x8BBB7B12,AI_DISABLE_PERCEPTION
0xAF77C42E,AI_ENABLE_PERCEPTION
0x9DDFA9CA,AI_RIDING_SET_ATTRIBUTE
0xF8AFEFA1,AI_RIDING_SET_ENABLED
0xD269F20B,AI_SPEECH_ADD_PHRASE
0x15CFAB4C,AI_SPEECH_ADD_TAG_FOR_PHRASE
0xDD925074,AI_SPEECH_REGISTER_EVENT
0xA08B3E4B,AI_SPEECH_REGISTER_TAG
0xAB297CCB,AI_SPEECH_REGISTER_TAGS_BEGIN
0x90B577F5,AI_SPEECH_REGISTER_TAGS_END
0xFF0BF292,AI_SPEECH_GET_ALLOW_FOR_ACTOR
0x6AAB4CD0,AI_SPEECH_SET_ALLOW_CONTEXT_FOR_ACTOR
0x10DDB016,AI_SPEECH_SET_ALLOW_CONTEXT_GLOBAL
0x56421F1A,AI_SPEECH_SET_ALLOW_FOR_ACTOR
0x829F3E70,AI_SPEECH_SET_DEFAULT_PACKAGE
0xD8C8BEA1,AI_GET_ACTOR_CONVERSATION_TARGET
0x679C5955,AI_IS_ACTOR_SOCIALIZING
0xD85BAFA8,SPEECH_CONTEXT_INIT_DATA
0xEB99D1A9,SPEECH_CONTEXT_ADD_CHILD
0x386C556,SPEECH_CONTEXT_SET_TIME_RESTRICTION
0xF63FA0A1,SPEECH_CONTEXT_SET_OPPOSITE_GENDER_RESTRICTION
0xB59AD5B1,SPEECH_CONTEXT_SET_ETHNICITY_RESTRICTION
0x4F64116B,SPEECH_CONTEXT_SET_RESTRICTION_IS_LAW
0xBAD8B9A8,SPEECH_CONTEXT_SET_WEATHER_RESTRICTION_GOOD
0x6CBF76AB,SPEECH_CONTEXT_SET_WEATHER_RESTRICTION_RAINY
0xE0DD373F,SPEECH_CONTEXT_SET_TARGET_PLAYER
